ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _brand,Meta: _eur_price_piece,Meta: _eur_price_box,Meta: _lei_price_piece,Meta: _lei_price_box,Meta: _pieces_per_box,Meta: _vat_rate,Meta: _margin_percent,Meta: _mix_order,Meta: _min_order_qty,Meta: _zentrada_url,Meta: _country_of_origin,Meta: _ean
,simple,45623,"Baterii Varta Super Heavy Duty Micro AAA, 4 buc.",1,0,visible,"Set de 4 baterii AAA de tip Micro.
Performanță fiabilă pentru utilizare zilnică.
Ideal pentru telecomenzi și dispozitive mici.
Durată de viață extinsă.","**Performanță Fiabilă**
Acest set de 4 baterii Varta Super Heavy Duty Micro AAA este conceput pentru a oferi energie constantă și de lungă durată dispozitivelor dumneavoastră. Ideale pentru utilizare zilnică în telecomenzi, ceasuri, jucării și alte aparate electronice de mici dimensiuni, aceste baterii asigură funcționarea optimă atunci când aveți cea mai mare nevoie.

**Utilizare Versatilă**
Cu o compoziție chimică ce garantează o descărcare lentă și o durată de viață extinsă, bateriile Varta Super Heavy Duty sunt o alegere economică și eficientă. Sunt perfecte pentru dispozitivele care necesită o sursă de energie stabilă și sigură.",,,taxable,,1,,,0,0,,,,,1,,,5.51,Casă & Grădină,"Varta, B2B",,"https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/ee/ef/29/1707922027/45623.jpg?ts=1726587454&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/ee/ef/29/1707922027/45623.jpg?ts=1726587454&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/28/88/8a/1734363396/45623-99.jpg?ts=1734363396&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/logo-varta-ag.png?force_format=webp&q=90",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (12 buc)",1,0,Varta,0.71,8.52,3.56,42.77,12,19,30,yes,2,https://www.zentrada.com/eu/shop/wholesale/article/8BC1F7EEDF11AF28B0282B2AF56C79DF/battery-Varta-Super-Heavy-Duty-Micro-AAA-4pcs,DE,4008496676187
,simple,44515,"Baterii Varta Super Heavy Duty Mignon AA, 4 buc.",1,0,visible,"Set de 4 baterii AA de tip Mignon.
Ideal pentru o gamă largă de dispozitive.
Performanță stabilă și durată lungă de viață.
Calitate Varta, fabricat în Germania.","**Sursă de Energie Durabilă**
Pachetul include 4 baterii Varta Super Heavy Duty Mignon AA, esențiale pentru alimentarea unei game variate de dispozitive. De la jucării și lanterne, până la aparate foto și echipamente audio portabile, aceste baterii asigură o funcționare îndelungată și stabilă, fără întreruperi neașteptate.

**Fiabilitate Germană**
Fabricate conform standardelor Varta, aceste baterii sunt sinonime cu calitatea și performanța. Designul Super Heavy Duty le conferă o rezistență sporită, fiind o soluție practică și economică pentru toate nevoile tale energetice cotidiene.",,,taxable,,1,,,0,0,,,,,1,,,5.75,Casă & Grădină,"Varta, B2B",,"https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/e4/7f/af/1707922342/44515.jpg?ts=1726587747&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/e4/7f/af/1707922342/44515.jpg?ts=1726587747&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/bd/69/4f/1734363362/44515-99.jpg?ts=1734363362&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/logo-varta-ag.png?force_format=webp&q=90",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (12 buc)",1,0,Varta,0.74,8.88,3.71,44.58,12,19,30,yes,2,https://www.zentrada.com/eu/shop/wholesale/article/48370372886F0BA0FCE68E686D18E4BC/battery-Varta-Super-Heavy-Duty-Mignon-AA-4pcs,DE,4008496556267
,simple,00021804,"Set ustensile de bucătărie Ruhhy, 12 piese",1,0,visible,"Set complet de 12 ustensile de bucătărie.
Ideal pentru diverse sarcini culinare.
Design practic, ușor de curățat.
Soluție eficientă pentru orice bucătărie.","**Esențial în Orice Bucătărie**
Acest set complet de 12 ustensile de bucătărie Ruhhy este proiectat pentru a facilita orice sarcină culinară, de la prepararea meselor zilnice la gătitul ocazional. Fiecare piesă este aleasă pentru funcționalitatea sa, oferind unelte indispensabile pentru gătit, prăjit, amestecat și servit.

**Practic și Convenabil**
Ideal pentru bucătăriile moderne, setul Ruhhy 21804 combină utilitatea cu un design simplu, fiind ușor de curățat și depozitat. Reprezintă o soluție economică și eficientă pentru a echipa complet spațiul de gătit.",,,taxable,,1,,,0,0,,,,,1,,,51.18,Casă & Grădină,"Ruhhy, B2B",,"https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/5d207ac4234c90fe5b10c2ec5018b3c1/pol_pl_Przybory-kuchenne-zestaw-12szt-Ruhhy-21804-16721_1.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/5d207ac4234c90fe5b10c2ec5018b3c1/pol_pl_Przybory-kuchenne-zestaw-12szt-Ruhhy-21804-16721_1.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/ae701652c7c0016bcab47c7b2062d6b2/pol_pl_Przybory-kuchenne-zestaw-12szt-Ruhhy-21804-16721_2.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/5d207ac4234c90fe5b10c2ec5018b3c1/pol_pl_Przybory-kuchenne-zestaw-12szt-Ruhhy-21804-16721_1.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/ae701652c7c0016bcab47c7b2062d6b2/pol_pl_Przybory-kuchenne-zestaw-12szt-Ruhhy-21804-16721_2.jpg?w=600&h=600&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (1 buc)",1,0,Ruhhy,6.59,6.59,33.08,33.08,1,19,30,yes,1,https://www.zentrada.com/eu/shop/isotrade/article/BB73DD396828431727C8D928F6CCC0A1/Kitchen-utensils-_--set-of-12-Ruhhy-21804,,5900779943438
,simple,8421295,"Tablete curățare toaletă Ja! Fresh, 400g",1,0,visible,"Tablete efervescente pentru curățarea toaletei.
Acțiune puternică împotriva calcarului și petelor.
Lasă un miros proaspăt și curat.
Ușor de utilizat, igienă garantată.","**Igienă Impecabilă și Prospețime**
Tabletele de curățare pentru toaletă Ja! Fresh, în ambalaj de 400g, sunt concepute pentru a asigura o curățare profundă și o igienă desăvârșită. Acestea acționează eficient împotriva depunerilor de calcar, petelor și bacteriilor, lăsând toaleta strălucitoare și emanând un parfum proaspăt.

**Utilizare Simplă și Eficientă**
Formula lor puternică garantează o curățare completă cu efort minim. Pur și simplu plasați o tabletă în vasul de toaletă și lăsați-o să acționeze. Ideal pentru menținerea curățeniei și prospețimii constante în baie.",,,taxable,,1,,,0,0,,,,,1,,,12.35,Casă & Grădină,"Ja!, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Logo-Ja.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://images.zentrada-network.eu/kundendaten/00/95/06/46/images/artikel/detail/8421295.png?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/95/06/46/images/logo_Supermarket_fr.png, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Logo-Ja.png?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://images.zentrada-network.eu/kundendaten/00/95/06/46/images/artikel/detail/8603338.png?w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (7 buc)",1,0,Ja!,1.59,11.13,7.98,55.87,7,19,30,yes,1,"https://www.zentrada.com/eu/shop/wholesale/article/C487633A5D5ACC71AF213142602680B6/Yes!-toilet-cleaner-tabs-fresh,-400g",DE,4070308030234
,simple,54032,"Baterie Varta tip pastilă CR2032, 1 buc.",1,0,visible,"Baterie tip pastilă CR2032 de la Varta.
Ideală pentru dispozitive electronice mici.
Performanță de lungă durată.
Calitate și fiabilitate garantată.","**Energie Compactă și Fiabilă**
Această baterie Varta tip pastilă CR2032 este soluția ideală pentru alimentarea dispozitivelor electronice mici care necesită o sursă de energie compactă, dar puternică. Perfectă pentru ceasuri, calculatoare, telecomenzi auto, senzori și alte gadgeturi, asigură o funcționare de lungă durată și o performanță constantă.

**Calitate Superioară Varta**
Fabricată de Varta, un lider recunoscut în industria bateriilor, această celulă buton garantează fiabilitate și durabilitate. Designul său robust previne scurgerile, protejând dispozitivele și oferind o experiență de utilizare sigură.",,,taxable,,1,,,0,0,,,,,1,,,4.35,Casă & Grădină,"Varta, B2B",,"https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/77/93/5e/1707922177/54032.jpg?ts=1726587593&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/77/93/5e/1707922177/54032.jpg?ts=1726587593&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/b8/f8/ea/1734363388/54032-99.jpg?ts=1734363388&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg, https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/logo-varta-ag.png?force_format=webp&q=90",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (10 buc)",1,0,Varta,0.56,5.6,2.81,28.11,10,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/4CED0F19F7946CFE0154827D4C6D762D/Battery-Varta-button-cell-CR2032-1er-on-card,DE,4008496276882
,simple,01569,Umidificator aer și difuzor aromaterapie LED RGB,1,0,visible,"Umidificator aer și difuzor aromaterapie.
Iluminare LED RGB, design modern.
Capacitate 200ml, funcționare 6 ore.
Operare silențioasă (~35dB), alimentare USB.
Îmbunătățește calitatea aerului și atmosfera.","**Ambiență Relaxantă și Aer Purificat**
Descoperiți beneficiile acestui umidificator de aer cu funcție de difuzor de aromaterapie, ideal pentru a crea o atmosferă plăcută și relaxantă în orice încăpere. Cu un design modern și iluminare LED RGB, acesta nu doar îmbunătățește calitatea aerului prin umidificare, ci și transformă spațiul într-un sanctuar de bine.

**Funcționalitate Avansată și Ușurință în Utilizare**
Capacitatea de 200ml asigură până la 6 ore de funcționare, iar operarea silențioasă (aproximativ 35dB) îl face perfect pentru dormitor sau birou. Echipat cu un buton tactil și alimentat prin USB, este ușor de utilizat și de întreținut, incluzând un filtru de rezervă și cablu USB.",,,taxable,,1,,,0,0,,,,,1,,,16.23,Casă & Grădină,"Verk Group, B2B",,"https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/d14fa9045da4ce64cdf3ee0455e36b2e/2600_7.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/d14fa9045da4ce64cdf3ee0455e36b2e/2600_7.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/3ef3ddaac856ff9a7408420dca9d6b3f/2600_2.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/d14fa9045da4ce64cdf3ee0455e36b2e/2600_7.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://verk.store/hpeciai/3ef3ddaac856ff9a7408420dca9d6b3f/2600_2.jpg?w=600&h=600&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (1 buc)",1,0,Verk Group,2.09,2.09,10.49,10.49,1,19,30,yes,1,"https://www.zentrada.com/eu/shop/wholesale/article/7A995ACAB55CC6B48BB8C896EE1CE45F/Air-humidifier,-aromatherapy-diffuser",Chiny,5907451325537
,simple,PJM44F,"Cutie prânz dublă cu tacâmuri, 1200ml",1,0,visible,"Cutie prânz dublă cu compartimente.
Include tacâmuri (lingură, furculiță).
Capac etanș, păstrează prospețimea.
Potrivită pentru cuptorul cu microunde.
Capacitate de 1200ml.","**Soluția Perfectă pentru Prânzul la Pachet**
Această cutie de prânz dublă, cu un design inteligent și compartimente multiple, este ideală pentru a transporta mesele complete în condiții optime. Capacul etanș asigură că alimentele își păstrează prospețimea și nu emit sau absorb mirosuri, fiind perfectă pentru birou, școală sau excursii.

**Practică, Durabilă și Completă**
Fabricată din plastic rezistent, cutia include tacâmuri (lingură și furculiță) și este potrivită pentru utilizarea în cuptorul cu microunde. Cu o capacitate generoasă de 1200ml și dimensiuni compacte, oferă o soluție completă și convenabilă pentru oricine dorește să savureze o masă sănătoasă departe de casă.",,,taxable,,1,,,0,0,,,,,1,,,26.64,Casă & Grădină,", B2B",,"https://evdo8pe.cloudimg.io/v7/https://hurt.ecarla.pl/img/p/1/8/5/1/8/8/185188.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://hurt.ecarla.pl/img/p/1/8/5/1/8/8/185188.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://hurt.ecarla.pl/img/p/1/8/5/0/3/0/185030.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://hurt.ecarla.pl/img/p/1/8/5/1/8/9/185189.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://hurt.ecarla.pl/img/p/1/8/9/5/5/1/189551.jpg?w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (1 buc)",1,0,,3.43,3.43,17.22,17.22,1,19,30,yes,1,https://www.zentrada.com/eu/shop/eCarla/article/7516FA2B0124481B186E3B062A4C808C/LUNCH-BOX-with-cutlery-21-x-145-x-8c,,
,simple,45674,"Brichetă cu gaz flexibilă, argintiu/neon",1,0,visible,"Brichetă cu gaz, design flexibil.
Disponibilă în 5 culori asortate.
Dimensiuni compacte: 19x3cm.
Produs reîncărcabil, economic.
Ideală pentru uz casnic.","**Design Practic și Versatil**
Această brichetă cu gaz flexibilă este ideală pentru diverse utilizări casnice. Disponibilă într-un display cu 5 culori asortate, oferă o soluție elegantă și funcțională. Dimensiunile sale compacte de 19x3cm o fac ușor de manevrat și depozitat.

**Reîncărcabilă și Durabilă**
Concepută pentru a fi reîncărcabilă, contribuie la reducerea deșeurilor și asigură o utilizare îndelungată. Este un accesoriu util în orice gospodărie, fiind etichetată în mai multe limbi pentru o înțelegere facilă a instrucțiunilor.",,,taxable,,1,,,0,0,,,,,1,,,8.54,Casă & Grădină,"Prof, B2B",,"https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/dc/be/18/1707921665/45674.jpg?ts=1726587130&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/dc/be/18/1707921665/45674.jpg?ts=1726587130&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/fe/49/75/1733862385/45674-99.jpg?ts=1734363334&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/c2/1f/26/1759760129/04636.jpg?ts=1759760129&w=130&h=130&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (20 buc)",1,0,Prof,1.1,22.0,5.52,110.44,20,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/01A4BA1109E686C03B86DB98060F2DB7/Lighter-Gas-lighter-flexible-silverneon-Display,CN,3661075072827
,simple,00024345,Mini mop Ruhhy 24345,1,0,visible,"Mini mop pentru curățenie.
Ideal pentru spații mici.
Ușor de utilizat și depozitat.
Curățare rapidă și eficientă.","**Curățare Eficientă și Rapidă**
Mini mopul Ruhhy 24345 este conceput pentru a simplifica sarcinile de curățenie. Datorită dimensiunilor sale compacte, este perfect pentru spații mici și suprafețe greu accesibile, asigurând o curățare rapidă și eficientă.

**Design Compact și Ușor de Utilizat**
Acest mini mop este ușor de manevrat și depozitat. Materialele sale asigură o absorbție bună și o curățare igienică, fiind un ajutor practic în orice locuință. Este ideal pentru întreținerea zilnică a curățeniei.",,,taxable,,1,,,0,0,,,,,1,,,9.4,Casă & Grădină,"Ruhhy, B2B",,"https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/e07ec52acd9d78a26935ca984a9a6d5a/pol_pl_Mop-mini-Ruhhy-24345-17940_16.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/e07ec52acd9d78a26935ca984a9a6d5a/pol_pl_Mop-mini-Ruhhy-24345-17940_16.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/57cf97f8c31e622d4b35cf9e3e9683c7/pol_pl_Mop-mini-Ruhhy-24345-17940_9.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/e07ec52acd9d78a26935ca984a9a6d5a/pol_pl_Mop-mini-Ruhhy-24345-17940_16.jpg?w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://maxy.eu/hpeciai/57cf97f8c31e622d4b35cf9e3e9683c7/pol_pl_Mop-mini-Ruhhy-24345-17940_9.jpg?w=600&h=600&func=bound&force_format=webp",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (1 buc)",1,0,Ruhhy,1.21,1.21,6.07,6.07,1,19,30,yes,1,https://www.zentrada.com/eu/shop/isotrade/article/96F93E51980EC6FAEB53CADC70A0B26E/Ruhhy-Mini-Mop-24345,,5900779952553
,simple,44371,Soluție curățare auto covor și tapițerie 500ml,1,0,visible,"Soluție curățare auto 500ml.
Pentru covoare și tapițerie.
Îndepărtează petele eficient.
Lasă un miros proaspăt.
Ușor de aplicat.","**Curățare Profundă pentru Interiorul Mașinii**
Soluția de curățare auto Elina Clean, în flacon de 500ml, este special formulată pentru a curăța eficient covoarele și tapițeria mașinii. Îndepărtează petele și murdăria, lăsând suprafețele proaspete și curate.

**Ușor de Utilizat și Versatilă**
Acest produs este conceput pentru a fi simplu de aplicat, oferind rezultate rapide și vizibile. Este etichetat în mai multe limbi pentru o utilizare facilă și este un aliat de încredere pentru menținerea igienei și aspectului interiorului vehiculului tău.",,,taxable,,1,,,0,0,,,,,1,,,6.52,Casă & Grădină,"Elina Clean, B2B",,"https://evdo8pe.cloudimg.io/width/200/n/https://images.zentrada-network.eu/images/zentrada/brands/Elina-med_2020_Logo_1taokfu1lnpw5.jpg?force_format=webp&q=90, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/55/2d/23/1707922047/44371.jpg?ts=1726587472&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/55/2d/23/1707922047/44371.jpg?ts=1726587472&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/v7/https://osma-werm.com/media/08/4f/26/1734363363/44371-99.jpg?ts=1734363363&w=600&h=600&func=bound&force_format=webp, https://evdo8pe.cloudimg.io/s/resizeinbox/130x130/https://images.zentrada-network.eu/kundendaten/00/34/30/92/images/salesroom.jpg",,,,,,,,,0,Cantitate,"1 Bucată, 1 Cutie (16 buc)",1,0,Elina Clean,0.84,13.44,4.22,67.47,16,19,30,yes,1,https://www.zentrada.com/eu/shop/wholesale/article/6A9D649BC557932699B384C4F62A1413/Car-Cleaner-Clean-Carpet-and-upholstery-500ml,PL,4326470443717
